Task,Sub-task,Specific Question,"Regexes over OpenIE Templates ([X] is disease, [B] is a break between subject/relation/object)","Regexes [X]=disease, [Y]=target. Current implementation specifies this cannot start with or end with [Y] because then the span of the target is not obvious.",Regex Suffix,Regex Type (whether to return [Y] only or the whole string)
"568: transmission, incubation, and environmental stability",Role of the environment in transmission,What is the environmental survival time?,survived for,"[X] can survive [Y] outside the host
[X] can survive on .* for [Y]
[X] is able to survive [Y] outside the host
[X] (have|has) been found to survive in environments outside the body [Y]
[X],? can survive on .* surfaces [Y]
[X] (have|has) the capacity to survive on .* surfaces [Y]",,
558: risk factors,"Data on potential risks factors: Smoking, pre-existing pulmonary disease",What are risk factors?,,"[Y] is a .* risk factor for [X]
[Y] is associated with [X]
[Y] is a risk factor for .* in [X] patients",,
558: risk factors,Data on potential risks factors: Co-infections (determine whether co-existing respiratory/viral infections make the virus more transmissible or virulent) and other co-morbidities,What happens with co-infections?,co-infection,,,
558: risk factors,Data on potential risks factors: Neonates and pregnant women,What is the risk for neonates and pregnant women?,,[X] poses [Y] risk (in|for) (pregnant women|neonates),,
558: risk factors,Data on potential risks factors: Socio-economic and behavioral factors to understand the economic impact of the virus and whether there were differences.,,,,,
558: risk factors,"Transmission dynamics of the virus, including the basic reproductive number, incubation period, serial interval, modes of transmission and environmental factors",What is the basic reproductive number?,basic reproductive number,"basic reproductive number of [X] is [Y]
[X] has a basic reproductive number of [Y]
The R 0 of [X] is [Y]
[X] has a R 0 of [Y]
",,
558: risk factors,"Severity of disease, including risk of fatality among symptomatic hospitalized patients, and high-risk patient groups",,,,,
558: risk factors,Susceptibility of populations,,,,,
558: risk factors,Public health mitigation measures that could be effective for control,What are potentially effective mitigation measures?,mitigation measures,,,
"567: genetics, origin, evolution",Real-time tracking of whole genomes and a mechanism for coordinating the rapid dissemination of that information to inform the development of diagnostics and therapeutics and to track variations of the virus over time.,,,,,
"567: genetics, origin, evolution","Access to geographic and temporal diverse sample sets to understand geographic distribution and genomic differences, and determine whether there is more than one strain in circulation. Multi-lateral agreements such as the Nagoya Protocol could be leveraged.",,,,,
"567: genetics, origin, evolution","Evidence that livestock could be infected (e.g., field surveillance, genetic sequencing, receptor binding) and serve as a reservoir after the epidemic appears to be over.",,,,,
"567: genetics, origin, evolution","Evidence of whether farmers are infected, and whether farmers could have played a role in the origin.",,,,,
"567: genetics, origin, evolution",Surveillance of mixed wildlife- livestock farms for SARS-CoV-2 and other coronaviruses in Southeast Asia.,,,,,
"567: genetics, origin, evolution",Experimental infections to test host range for this pathogen.,,,,,
"567: genetics, origin, evolution",Animal host(s) and any evidence of continued spill-over to humans,What is known about animal hosts?,animal host,,,
"567: genetics, origin, evolution",Socioeconomic and behavioral risk factors for this spill-over,What are socioeconomic and behavioral risk factors?,"socioeconomic
behavioral",,,
"567: genetics, origin, evolution",Sustainable risk reduction strategies,,,,,
536: geography,Are there geographic variations in the rate of COVID-19 spread?,Are there geographic variations in the rate of COVID-19 spread?,geographic.*spread,,,
536: geography,Are there geographic variations in the mortality rate of COVID-19?,Are there geographic variations in the mortality rate of COVID-19?,geographic.*mortality,,,
536: geography,Is there any evidence to suggest geographic based virus mutations?,,,,,
561: vaccines and theraputics,Effectiveness of drugs being developed and tried to treat COVID-19 patients.,,,,,
561: vaccines and theraputics,"Clinical and bench trials to investigate less common viral inhibitors against COVID-19 such as naproxen, clarithromycin, and minocyclinethat that may exert effects on viral replication.",,,,,
561: vaccines and theraputics,Methods evaluating potential complication of Antibody-Dependent Enhancement (ADE) in vaccine recipients.,,,,,
561: vaccines and theraputics,Exploration of use of best animal models and their predictive value for a human vaccine.,,,,,
561: vaccines and theraputics,"Capabilities to discover a therapeutic (not vaccine) for the disease, and clinical effectiveness studies to discover therapeutics, to include antiviral agents.",,,,,
561: vaccines and theraputics,"Alternative models to aid decision makers in determining how to prioritize and distribute scarce, newly proven therapeutics as production ramps up. This could include identifying approaches for expanding production capacity to ensure equitable and timely distribution to populations in need.",,,,,
561: vaccines and theraputics,Efforts targeted at a universal coronavirus vaccine.,,,,,
561: vaccines and theraputics,Efforts to develop animal models and standardize challenge studies,,,,,
561: vaccines and theraputics,Efforts to develop prophylaxis clinical studies and prioritize in healthcare workers,,,,,
561: vaccines and theraputics,Approaches to evaluate risk for enhanced disease after vaccination,,,,,
561: vaccines and theraputics,"Assays to evaluate vaccine immune response and process development for vaccines, alongside suitable animal models [in conjunction with therapeutics]",,,,,
587: non-pharamaceutical interventions,"Guidance on ways to scale up NPIs in a more coordinated way (e.g., establish funding, infrastructure and authorities to support real time, authoritative (qualified participants) collaboration with all states to gain consensus on consistent guidance and to mobilize resources to geographic areas where critical shortfalls are identified) to give us time to enhance our health care delivery system capacity to respond to an increase in cases.",,,,,
587: non-pharamaceutical interventions,Rapid design and execution of experiments to examine and compare NPIs currently being implemented. DHS Centers for Excellence could potentially be leveraged to conduct these experiments.,,,,,
587: non-pharamaceutical interventions,"Rapid assessment of the likely efficacy of school closures, travel bans, bans on mass gatherings of various sizes, and other social distancing approaches.",,,,,
587: non-pharamaceutical interventions,"Methods to control the spread in communities, barriers to compliance and how these vary among different populations..",,,,,
587: non-pharamaceutical interventions,"Models of potential interventions to predict costs and benefits that take account of such factors as race, income, disability, age, geographic location, immigration status, housing status, employment status, and health insurance status.",,,,,
587: non-pharamaceutical interventions,Policy changes necessary to enable the compliance of individuals with limited resources and the underserved with NPIs.,,,,,
587: non-pharamaceutical interventions,"Research on why people fail to comply with public health advice, even if they want to do so (e.g., social or financial costs may be too high).",,,,,
587: non-pharamaceutical interventions,"Research on the economic impact of this or any pandemic. This would include identifying policy and programmatic alternatives that lessen/mitigate risks to critical government services, food distribution and supplies, access to critical household supplies, and access to health diagnoses, treatment, and needed care, regardless of ability to pay.",,,,,
570: diagnostics and surveilance,"How widespread current exposure is to be able to make immediate policy recommendations on mitigation measures. Denominators for testing and a mechanism for rapidly sharing that information, including demographics, to the extent possible. Sampling methods to determine asymptomatic disease (e.g., use of serosurveys (such as convalescent samples) and early detection of disease (e.g., use of screening of neutralizing antibodies such as ELISAs).",,,,,
570: diagnostics and surveilance,Efforts to increase capacity on existing diagnostic platforms and tap into existing surveillance platforms.,,,,,
570: diagnostics and surveilance,"Recruitment, support, and coordination of local expertise and capacity (public, private—commercial, and non-profit, including academic), including legal, ethical, communications, and operational issues.",,,,,
570: diagnostics and surveilance,"National guidance and guidelines about best practices to states (e.g., how states might leverage universities and private laboratories for testing purposes, communications to public health officials and the public).",,,,,
570: diagnostics and surveilance,"Development of a point-of-care test (like a rapid influenza test) and rapid bed-side tests, recognizing the tradeoffs between speed, accessibility, and accuracy.",,,,,
570: diagnostics and surveilance,"Rapid design and execution of targeted surveillance experiments calling for all potential testers using PCR in a defined area to start testing and report to a specific entity. These experiments could aid in collecting longitudinal samples, which are critical to understanding the impact of ad hoc local interventions (which also need to be recorded).",,,,,
570: diagnostics and surveilance,"Separation of assay development issues from instruments, and the role of the private sector to help quickly migrate assays onto those devices.",,,,,
570: diagnostics and surveilance,"Efforts to track the evolution of the virus (i.e., genetic drift or mutations) and avoid locking into specific reagents and surveillance/detection schemes.",,,,,
570: diagnostics and surveilance,"Latency issues and when there is sufficient viral load to detect the pathogen, and understanding of what is needed in terms of biological and environmental sampling.",,,,,
570: diagnostics and surveilance,"Use of diagnostics such as host response markers (e.g., cytokines) to detect early disease or predict severe disease progression, which would be important to understanding best clinical practice and efficacy of therapeutic interventions.",,,,,
570: diagnostics and surveilance,Policies and protocols for screening and testing.,,,,,
570: diagnostics and surveilance,"Policies to mitigate the effects on supplies associated with mass testing, including swabs and reagents.",,,,,
570: diagnostics and surveilance,Technology roadmap for diagnostics.,,,,,
570: diagnostics and surveilance,"Barriers to developing and scaling up new diagnostic tests (e.g., market forces), how future coalition and accelerator models (e.g., Coalition for Epidemic Preparedness Innovations) could provide critical funding for diagnostics, and opportunities for a streamlined regulatory environment.",,,,,
570: diagnostics and surveilance,"New platforms and technology (e.g., CRISPR) to improve response times and employ more holistic approaches to COVID-19 and future diseases.",,,,,
570: diagnostics and surveilance,Coupling genomics and diagnostic testing on a large scale.,,,,,
570: diagnostics and surveilance,Enhance capabilities for rapid sequencing and bioinformatics to target regions of the genome that will allow specificity for a particular variant.,,,,,
570: diagnostics and surveilance,"Enhance capacity (people, technology, data) for sequencing with advanced analytics for unknown pathogens, and explore capabilities for distinguishing naturally-occurring pathogens from intentional.",,,,,
570: diagnostics and surveilance,"One Health surveillance of humans and potential sources of future spillover or ongoing exposure for this organism and future pathogens, including both evolutionary hosts (e.g., bats) and transmission hosts (e.g., heavily trafficked and farmed wildlife and domestic food and companion species), inclusive of environmental, demographic, and occupational risk factors.",,,,,
572: medical care,Resources to support skilled nursing facilities and long term care facilities.,,,,,
572: medical care,Mobilization of surge medical staff to address shortages in overwhelmed communities,,,,,
572: medical care,Age-adjusted mortality data for Acute Respiratory Distress Syndrome (ARDS) with/without other organ failure – particularly for viral etiologies,,,,,
572: medical care,Extracorporeal membrane oxygenation (ECMO) outcomes data of COVID-19 patients,,,,,
572: medical care,Outcomes data for COVID-19 after mechanical ventilation adjusted for age.,,,,,
572: medical care,"Knowledge of the frequency, manifestations, and course of extrapulmonary manifestations of COVID-19, including, but not limited to, possible cardiomyopathy and cardiac arrest.",,,,,
572: medical care,"Application of regulatory standards (e.g., EUA, CLIA) and ability to adapt care to crisis standards of care level.",,,,,
572: medical care,"Approaches for encouraging and facilitating the production of elastomeric respirators, which can save thousands of N95 masks.",,,,,
572: medical care,"Best telemedicine practices, barriers and faciitators, and specific actions to remove/expand them within and across state boundaries.",,,,,
572: medical care,Guidance on the simple things people can do at home to take care of sick people and manage disease.,,,,,
572: medical care,Oral medications that might potentially work.,,,,,
572: medical care,"Use of AI in real-time health care delivery to evaluate interventions, risk factors, and outcomes in a way that could not be done manually.",,,,,
572: medical care,"Best practices and critical challenges and innovative solutions and technologies in hospital flow and organization, workforce protection, workforce allocation, community-based support resources, payment, and supply chain management to enhance capacity, efficiency, and outcomes.",,,,,
572: medical care,"Efforts to define the natural history of disease to inform clinical care, public health interventions, infection prevention control, transmission, and clinical trials",,,,,
572: medical care,Efforts to develop a core clinical outcome set to maximize usability of data across a range of trials,,,,,
572: medical care,"Efforts to determine adjunctive and supportive interventions that can improve the clinical outcomes of infected patients (e.g. steroids, high flow oxygen)",,,,,
583: information sharing and inter-sectoral collaboration,Methods for coordinating data-gathering with standardized nomenclature.,,,,,
583: information sharing and inter-sectoral collaboration,"Sharing response information among planners, providers, and others.",,,,,
583: information sharing and inter-sectoral collaboration,Understanding and mitigating barriers to information-sharing.,,,,,
583: information sharing and inter-sectoral collaboration,"How to recruit, support, and coordinate local (non-Federal) expertise and capacity relevant to public health emergency response (public, private, commercial and non-profit, including academic).",,,,,
583: information sharing and inter-sectoral collaboration,Integration of federal/state/local public health surveillance systems.,,,,,
583: information sharing and inter-sectoral collaboration,Value of investments in baseline public health response infrastructure preparedness,,,,,
583: information sharing and inter-sectoral collaboration,"Modes of communicating with target high-risk populations (elderly, health care workers).",,,,,
583: information sharing and inter-sectoral collaboration,Risk communication and guidelines that are easy to understand and follow (include targeting at risk populations’ families too).,,,,,
583: information sharing and inter-sectoral collaboration,Communication that indicates potential risk of disease to all population groups.,,,,,
583: information sharing and inter-sectoral collaboration,Misunderstanding around containment and mitigation.,,,,,
583: information sharing and inter-sectoral collaboration,"Action plan to mitigate gaps and problems of inequity in the Nation’s public health capability, capacity, and funding to ensure all citizens in need are supported and can access information, surveillance, and treatment.",,,,,
583: information sharing and inter-sectoral collaboration,Measures to reach marginalized and disadvantaged populations.,,,,,
583: information sharing and inter-sectoral collaboration,Data systems and research priorities and agendas incorporate attention to the needs and circumstances of disadvantaged populations and underrepresented minorities.,,,,,
583: information sharing and inter-sectoral collaboration,"Mitigating threats to incarcerated people from COVID-19, assuring access to information, prevention, diagnosis, and treatment.",,,,,
583: information sharing and inter-sectoral collaboration,"Understanding coverage policies (barriers and opportunities) related to testing, treatment, and care",,,,,
563: ethical and social science considerations,Efforts to articulate and translate existing ethical principles and standards to salient issues in COVID-2019,,,,,
563: ethical and social science considerations,"Efforts to embed ethics across all thematic areas, engage with novel ethical issues that arise and coordinate to minimize duplication of oversight",,,,,
563: ethical and social science considerations,"Efforts to support sustained education, access, and capacity building in the area of ethics",,,,,
563: ethical and social science considerations,Efforts to establish a team at WHO that will be integrated within multidisciplinary research and operational platforms and that will connect with existing and expanded global networks of social sciences.,,,,,
563: ethical and social science considerations,"Efforts to develop qualitative assessment frameworks to systematically collect information related to local barriers and enablers for the uptake and adherence to public health measures for prevention and control. This includes the rapid identification of the secondary impacts of these measures. (e.g. use of surgical masks, modification of health seeking behaviors for SRH, school closures)",,,,,
563: ethical and social science considerations,Efforts to identify how the burden of responding to the outbreak and implementing public health measures affects the physical and psychological health of those providing care for Covid-19 patients and identify the immediate needs that must be addressed.,,,,,
563: ethical and social science considerations,"Efforts to identify the underlying drivers of fear, anxiety and stigma that fuel misinformation and rumor, particularly through social media.",,,,,
